Contest ID,Contest,Candidate Issue ID,Candidate Issue,Party,Total Votes,% of Total Votes
1001,COUNTY LEGISLATOR for 02nd (REP),Jan-00,Brian M. Carey,REP,269,39.62
1001,COUNTY LEGISLATOR for 02nd (REP),Feb-00,Janet Sutherland,REP,408,60.09
1001,COUNTY LEGISLATOR for 02nd (REP),Mar-00,Write-in,,0,0
1001,COUNTY LEGISLATOR for 02nd (REP),1-Mar,Write-in,,2,0.29
1002,COUNTY LEGISLATOR for 02nd (CON),Apr-00,Janet Sutherland,CON,19,67.86
1002,COUNTY LEGISLATOR for 02nd (CON),May-00,Write-in,,9,32.14
1003,COUNTY LEGISLATOR for 02nd (IND),Jun-00,Janet Sutherland,IND,25,51.02
1003,COUNTY LEGISLATOR for 02nd (IND),Jul-00,Brian M. Carey,IND,24,48.98
1003,COUNTY LEGISLATOR for 02nd (IND),Aug-00,Write-in,,0,0
1003,COUNTY LEGISLATOR for 02nd (IND),1-Aug,Write-in,,0,0
1004,COUNTY LEGISLATOR for 04th (DEM),Sep-00,Omari Shakur,DEM,288,50.26
1004,COUNTY LEGISLATOR for 04th (DEM),Oct-00,Kevindaryan Lujan,DEM,282,49.21
1004,COUNTY LEGISLATOR for 04th (DEM),Nov-00,Write-in,,2,0.35
1004,COUNTY LEGISLATOR for 04th (DEM),1-Nov,Write-in,,1,0.17
1005,COUNTY LEGISLATOR for 11th (CON),Dec-00,Scott J. Congiusti,CON,18,34.62
1005,COUNTY LEGISLATOR for 11th (CON),13-0,Kathy A. Stegenga,CON,33,63.46
1005,COUNTY LEGISLATOR for 11th (CON),14-0,Write-in,,0,0
1005,COUNTY LEGISLATOR for 11th (CON),14-1,Write-in,,1,1.92
1006,COUNTY LEGISLATOR for 11th (GRE),15-0,     ,GRE,0,0
1006,COUNTY LEGISLATOR for 11th (GRE),16-0,Write-in,,5,100
1007,SUPERVISOR (GRE),17-0,   ,GRE,0,0
1007,SUPERVISOR (GRE),18-0,Write-in,,2,100
1008,SUPERVISOR (WOR),19-0,   ,WOR,0,NaN
1008,SUPERVISOR (WOR),20-0,Write-in,,0,NaN
1009,SUPERVISOR (CON),21-0,Rodney Winchell,CON,50,98.04
1009,SUPERVISOR (CON),22-0,Write-in,,1,1.96
1010,SUPERVISOR (DEM),23-0,David Sutz,DEM,129,37.28
1010,SUPERVISOR (DEM),24-0,Frank J. Palermo,DEM,216,62.43
1010,SUPERVISOR (DEM),25-0,Write-in,,1,0.29
1010,SUPERVISOR (DEM),25-1,Write-in,,0,0
1011,TOWN JUSTICE (REP),26-0,Adam McCarey,REP,120,30.46
1011,TOWN JUSTICE (REP),27-0,Joe Hosking,REP,274,69.54
1011,TOWN JUSTICE (REP),28-0,Write-in,,0,0
1011,TOWN JUSTICE (REP),28-1,Write-in,,0,0
1012,TOWN JUSTICE (CON),29-0,Joe Hosking,CON,5,35.71
1012,TOWN JUSTICE (CON),30-0,Adam McCarey ,CON,9,64.29
1012,TOWN JUSTICE (CON),31-0,Write-in,,0,0
1012,TOWN JUSTICE (CON),31-1,Write-in,,0,0
1013,TOWN JUSTICE (IND),32-0,Joe Hosking,IND,10,40
1013,TOWN JUSTICE (IND),33-0,Adam McCarey,IND,15,60
1013,TOWN JUSTICE (IND),34-0,Write-in,,0,0
1013,TOWN JUSTICE (IND),34-1,Write-in,,0,0
1014,TOWN JUSTICE  (CON),35-0,Richard W.Thorpe,CON,21,20.79
1014,TOWN JUSTICE  (CON),36-0,Noreen Calderin,CON,38,37.62
1014,TOWN JUSTICE  (CON),37-0,George J. Meyers,CON,42,41.58
1014,TOWN JUSTICE  (CON),38-0,Write-in,,0,0
1014,TOWN JUSTICE  (CON),38-1,Write-in,,0,0
1014,TOWN JUSTICE  (CON),38-2,Write-in,,0,0
1015,TOWN JUSTICE  (IND),39-0,Jennifer L. McCarthy,IND,6,15
1015,TOWN JUSTICE  (IND),40-0,Shawn O'Connor,IND,34,85
1015,TOWN JUSTICE  (IND),41-0,Write-in,,0,0
1015,TOWN JUSTICE  (IND),41-1,Write-in,,0,0
1016,ALDERMAN WARD 4 (DEM),42-0,Sparrow H. Tobin,DEM,224,41.25
1016,ALDERMAN WARD 4 (DEM),43-0,Jude Jean-Francois,DEM,180,33.15
1016,ALDERMAN WARD 4 (DEM),44-0,Vanessa Morales-Cid,DEM,136,25.05
1016,ALDERMAN WARD 4 (DEM),45-0,Write-in,,1,0.18
1016,ALDERMAN WARD 4 (DEM),45-1,Write-in,,1,0.18
1016,ALDERMAN WARD 4 (DEM),45-2,Write-in,,1,0.18
